year,nuts_id,nuts_year_spec,area_university_site
2015,UKC1,2013,240.51
2016,UKC1,2013,240.51
2017,UKC1,2013,298.51
2018,UKC1,2016,298.51
2015,UKC2,2013,710.5740000000001
2016,UKC2,2013,705.074
2017,UKC2,2013,706.923
2018,UKC2,2016,659.023
2015,UKD1,2013,37.055
2016,UKD1,2013,37.105
2017,UKD1,2013,33.918
2018,UKD1,2016,33.918
2015,UKD3,2013,262.904
2016,UKD3,2013,263.714
2017,UKD3,2013,262.14700000000005
2018,UKD3,2016,233.29000000000002
2015,UKD4,2013,265.052
2016,UKD4,2013,265.126
2017,UKD4,2013,270.137
2018,UKD4,2016,274.308
2015,UKD6,2013,76.13
2016,UKD6,2013,73.61
2017,UKD6,2013,73.61
2018,UKD6,2016,78.1
2015,UKD7,2013,287.396
2016,UKD7,2013,287.826
2017,UKD7,2013,290.716
2018,UKD7,2016,290.736
2015,UKE1,2013,116.0
2016,UKE1,2013,90.34
2017,UKE1,2013,90.34
2018,UKE1,2016,89.46
2015,UKE2,2013,229.48
2016,UKE2,2013,229.48
2017,UKE2,2013,229.48
2018,UKE2,2016,229.48
2015,UKE3,2013,143.671
2016,UKE3,2013,166.587
2017,UKE3,2013,174.81799999999998
2018,UKE3,2016,158.62
2015,UKE4,2013,261.142
2016,UKE4,2013,273.271
2017,UKE4,2013,238.43200000000002
2018,UKE4,2016,239.13600000000002
2015,UKF1,2013,536.832
2016,UKF1,2013,537.828
2017,UKF1,2013,538.105
2018,UKF1,2016,544.0889999999999
2015,UKF2,2013,269.446
2016,UKF2,2013,277.992
2017,UKF2,2013,278.576
2018,UKF2,2016,272.465
2015,UKF3,2013,455.458
2016,UKF3,2013,264.918
2017,UKF3,2013,264.918
2018,UKF3,2016,264.918
2015,UKG1,2013,86.212
2016,UKG1,2013,86.212
2017,UKG1,2013,86.404
2018,UKG1,2016,86.429
2015,UKG2,2013,411.4
2016,UKG2,2013,405.4
2017,UKG2,2013,405.4
2018,UKG2,2016,405.4
2015,UKG3,2013,468.03
2016,UKG3,2013,734.231
2017,UKG3,2013,726.679
2018,UKG3,2016,411.396
2015,UKH1,2013,442.57000000000005
2016,UKH1,2013,317.57000000000005
2017,UKH1,2013,331.64000000000004
2018,UKH1,2016,391.51
2015,UKH2,2013,385.402
2016,UKH2,2013,385.133
2017,UKH2,2013,385.078
2018,UKH2,2016,385.078
2015,UKH3,2013,354.341
2016,UKH3,2013,354.35699999999997
2017,UKH3,2013,134.361
2018,UKH3,2016,134.361
2015,UKI3,2013,550.752
2016,UKI3,2013,559.6569999999999
2017,UKI3,2013,526.629
2018,UKI3,2016,530.1510000000001
2015,UKI4,2013,78.563
2016,UKI4,2013,78.403
2017,UKI4,2013,78.203
2018,UKI4,2016,61.287
2015,UKI5,2013,48.998999999999995
2016,UKI5,2013,48.998999999999995
2017,UKI5,2013,48.998999999999995
2018,UKI5,2016,48.998999999999995
2015,UKI6,2013,50.92
2016,UKI6,2013,50.92
2017,UKI6,2013,50.92
2018,UKI6,2016,50.92
2015,UKI7,2013,108.967
2016,UKI7,2013,108.95
2017,UKI7,2013,228.43
2018,UKI7,2016,108.95
2015,UKJ1,2013,341.79999999999995
2016,UKJ1,2013,722.01
2017,UKJ1,2013,801.3190000000001
2018,UKJ1,2016,805.9209999999999
2015,UKJ2,2013,380.499
2016,UKJ2,2013,344.238
2017,UKJ2,2013,346.848
2018,UKJ2,2016,325.675
2015,UKJ3,2013,152.62199999999999
2016,UKJ3,2013,144.002
2017,UKJ3,2013,143.03199999999998
2018,UKJ3,2016,214.00799999999998
2015,UKJ4,2013,147.95
2016,UKJ4,2013,152.70000000000002
2017,UKJ4,2013,152.002
2018,UKJ4,2016,151.699
2015,UKK1,2013,558.5129999999999
2016,UKK1,2013,523.566
2017,UKK1,2013,492.506
2018,UKK1,2016,556.394
2015,UKK2,2013,21.16
2016,UKK2,2013,22.86
2017,UKK2,2013,22.310000000000002
2018,UKK2,2016,22.35
2015,UKK3,2013,23.251
2016,UKK3,2013,22.256
2017,UKK3,2013,22.256
2018,UKK3,2016,22.256
2015,UKK4,2013,140.18
2016,UKK4,2013,140.18
2017,UKK4,2013,140.24
2018,UKK4,2016,141.19
2015,UKL1,2013,648.46
2016,UKL1,2013,631.246
2017,UKL1,2013,645.3689999999999
2018,UKL1,2016,2234.546
2015,UKL2,2013,157.58
2016,UKL2,2013,157.72
2017,UKL2,2013,153.69
2018,UKL2,2016,155.03
2015,UKM2,2013,702.6859999999999
2016,UKM2,2013,718.4000000000001
2017,UKM2,2013,718.4000000000001
2015,UKM3,2013,368.277
2016,UKM3,2013,367.62299999999993
2017,UKM3,2013,367.62299999999993
2015,UKM5,2013,145.723
2016,UKM5,2013,138.272
2017,UKM5,2013,138.272
2018,UKM5,2016,138.073
2015,UKM6,2013,98.009
2016,UKM6,2013,143.0
2017,UKM6,2013,144.02
2018,UKM6,2016,53.457
2018,UKM7,2016,718.4000000000001
2018,UKM8,2016,373.74699999999996
2015,UKN0,2013,272.4
2016,UKN0,2013,261.629
2017,UKN0,2013,261.72900000000004
2018,UKN0,2016,262.129
