,year,geo_type,geo_nm,geo_cd,SIC4,value,cluster_name
0,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0161,100,manufacture_food
1,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0161,200,manufacture_food
2,2016,nuts 2013 level 2,Cumbria,UKD1,0161,200,manufacture_food
3,2016,nuts 2013 level 2,Greater Manchester,UKD3,0161,350,manufacture_food
4,2016,nuts 2013 level 2,Lancashire,UKD4,0161,500,manufacture_food
5,2016,nuts 2013 level 2,Cheshire,UKD6,0161,300,manufacture_food
6,2016,nuts 2013 level 2,Merseyside,UKD7,0161,125,manufacture_food
7,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0161,800,manufacture_food
8,2016,nuts 2013 level 2,North Yorkshire,UKE2,0161,800,manufacture_food
9,2016,nuts 2013 level 2,South Yorkshire,UKE3,0161,75,manufacture_food
10,2016,nuts 2013 level 2,West Yorkshire,UKE4,0161,450,manufacture_food
11,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0161,350,manufacture_food
12,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0161,350,manufacture_food
13,2016,nuts 2013 level 2,Lincolnshire,UKF3,0161,700,manufacture_food
14,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0161,300,manufacture_food
15,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0161,250,manufacture_food
16,2016,nuts 2013 level 2,West Midlands,UKG3,0161,50,manufacture_food
17,2016,nuts 2013 level 2,East Anglia,UKH1,0161,1250,manufacture_food
18,2016,nuts 2013 level 2,Bedfordshire and Hertfordshire,UKH2,0161,300,manufacture_food
19,2016,nuts 2013 level 2,Essex,UKH3,0161,200,manufacture_food
20,2016,nuts 2013 level 2,Inner London - West,UKI3,0161,20,manufacture_food
21,2016,nuts 2013 level 2,Inner London - East,UKI4,0161,15,manufacture_food
22,2016,nuts 2013 level 2,Outer London - East and North East,UKI5,0161,25,manufacture_food
23,2016,nuts 2013 level 2,Outer London - South,UKI6,0161,25,manufacture_food
24,2016,nuts 2013 level 2,Outer London - West and North West,UKI7,0161,40,manufacture_food
25,2016,nuts 2013 level 2,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,0161,225,manufacture_food
26,2016,nuts 2013 level 2,"Surrey, East and West Sussex",UKJ2,0161,300,manufacture_food
27,2016,nuts 2013 level 2,Hampshire and Isle of Wight,UKJ3,0161,125,manufacture_food
28,2016,nuts 2013 level 2,Kent,UKJ4,0161,350,manufacture_food
29,2016,nuts 2013 level 2,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,0161,500,manufacture_food
30,2016,nuts 2013 level 2,Dorset and Somerset,UKK2,0161,350,manufacture_food
31,2016,nuts 2013 level 2,Cornwall and Isles of Scilly,UKK3,0161,225,manufacture_food
32,2016,nuts 2013 level 2,Devon,UKK4,0161,250,manufacture_food
33,2016,nuts 2013 level 2,West Wales and The Valleys,UKL1,0161,700,manufacture_food
34,2016,nuts 2013 level 2,East Wales,UKL2,0161,350,manufacture_food
35,2016,nuts 2013 level 2,Eastern Scotland,UKM2,0161,700,manufacture_food
36,2016,nuts 2013 level 2,South Western Scotland,UKM3,0161,400,manufacture_food
37,2016,nuts 2013 level 2,North Eastern Scotland,UKM5,0161,250,manufacture_food
38,2016,nuts 2013 level 2,Highlands and Islands,UKM6,0161,175,manufacture_food
39,2016,nuts 2013 level 2,Tees Valley and Durham,UKC1,0162,125,manufacture_food
40,2016,nuts 2013 level 2,Northumberland and Tyne and Wear,UKC2,0162,100,manufacture_food
41,2016,nuts 2013 level 2,Cumbria,UKD1,0162,300,manufacture_food
42,2016,nuts 2013 level 2,Greater Manchester,UKD3,0162,225,manufacture_food
43,2016,nuts 2013 level 2,Lancashire,UKD4,0162,400,manufacture_food
44,2016,nuts 2013 level 2,Cheshire,UKD6,0162,1000,manufacture_food
45,2016,nuts 2013 level 2,Merseyside,UKD7,0162,150,manufacture_food
46,2016,nuts 2013 level 2,East Yorkshire and Northern Lincolnshire,UKE1,0162,350,manufacture_food
47,2016,nuts 2013 level 2,North Yorkshire,UKE2,0162,600,manufacture_food
48,2016,nuts 2013 level 2,South Yorkshire,UKE3,0162,350,manufacture_food
49,2016,nuts 2013 level 2,West Yorkshire,UKE4,0162,225,manufacture_food
50,2016,nuts 2013 level 2,Derbyshire and Nottinghamshire,UKF1,0162,250,manufacture_food
51,2016,nuts 2013 level 2,"Leicestershire, Rutland and Northamptonshire",UKF2,0162,300,manufacture_food
52,2016,nuts 2013 level 2,Lincolnshire,UKF3,0162,125,manufacture_food
53,2016,nuts 2013 level 2,"Herefordshire, Worcestershire and Warwickshire",UKG1,0162,200,manufacture_food
54,2016,nuts 2013 level 2,Shropshire and Staffordshire,UKG2,0162,175,manufacture_food
55,2016,nuts 2013 level 2,West Midlands,UKG3,0162,40,manufacture_food
56,2016,nuts 2013 level 2,East Anglia,UKH1,0162,900,manufacture_food
