year,nuts_id,nuts_year_spec,consultancy_facilities_public_third
2014,UKC1,2013,10695000
2014,UKC2,2013,3528000
2014,UKD1,2013,91000
2014,UKD3,2013,7730000
2014,UKD4,2013,12735000
2014,UKD6,2013,426000
2014,UKD7,2013,2911000
2014,UKE1,2013,4280000
2014,UKE2,2013,3699000
2014,UKE3,2013,4916000
2014,UKE4,2013,14621000
2014,UKF1,2013,4258000
2014,UKF2,2013,16026000
2014,UKF3,2013,500000
2014,UKG1,2013,250000
2014,UKG2,2013,7500000
2014,UKG3,2013,20074000
2014,UKH1,2013,26779000
2014,UKH2,2013,4428000
2014,UKH3,2013,4576000
2014,UKI3,2013,32526000
2014,UKI4,2013,19466000
2014,UKI5,2013,2242000
2014,UKI6,2013,299000
2014,UKI7,2013,952000
2014,UKJ1,2013,9209000
2014,UKJ2,2013,7977000
2014,UKJ3,2013,26989000
2014,UKJ4,2013,5077000
2014,UKK1,2013,7373000
2014,UKK2,2013,405000
2014,UKK3,2013,7000
2014,UKK4,2013,3172000
2014,UKL1,2013,3986000
2014,UKL2,2013,5749000
2014,UKM2,2013,17298000
2014,UKM3,2013,9762000
2014,UKM5,2013,4849000
2014,UKM6,2013,683000
2014,UKN0,2013,8862000
2015,UKC1,2013,11530000
2015,UKC2,2013,3980000
2015,UKD1,2013,87000
2015,UKD3,2013,6458000
2015,UKD4,2013,11710000
2015,UKD6,2013,587000
2015,UKD7,2013,2417000
2015,UKE1,2013,3394000
2015,UKE2,2013,3454000
2015,UKE3,2013,5785000
2015,UKE4,2013,31462000
2015,UKF1,2013,3470000
2015,UKF2,2013,15518000
2015,UKF3,2013,385000
2015,UKG1,2013,934000
2015,UKG2,2013,8095000
2015,UKG3,2013,19509000
2015,UKH1,2013,23331000
2015,UKH2,2013,4392000
2015,UKH3,2013,5394000
2015,UKI3,2013,32474000
2015,UKI4,2013,19327000
2015,UKI5,2013,1700000
2015,UKI6,2013,131000
2015,UKI7,2013,1496000
2015,UKJ1,2013,8883000
2015,UKJ2,2013,7756000
2015,UKJ3,2013,29002000
2015,UKJ4,2013,6540000
2015,UKK1,2013,6714000
2015,UKK2,2013,315000
2015,UKK3,2013,5000
2015,UKK4,2013,1934000
2015,UKL1,2013,4441000
2015,UKL2,2013,4763000
2015,UKM2,2013,17958000
2015,UKM3,2013,13451000
2015,UKM5,2013,4849000
2015,UKM6,2013,482000
2015,UKN0,2013,7550000
2016,UKC1,2016,11311000
2016,UKC2,2016,4417000
2016,UKD1,2016,126000
2016,UKD3,2016,5290000
2016,UKD4,2016,18767000
2016,UKD6,2016,377000
2016,UKD7,2016,3100000
